timestamp,artist,track,ms_played
2024-01-07T08:00:00,Miles Davis,So What,900000
2024-01-07T09:45:00,John Coltrane,A Love Supreme,465000
2024-01-07T11:30:00,Duke Ellington,Take the A Train,300000
2024-01-07T13:15:00,Bill Evans,Peace Piece,480000
2024-01-07T15:00:00,Charlie Parker,Ornithology,240000
2024-01-07T16:45:00,Thelonious Monk,Round Midnight,480000
2024-01-07T18:30:00,Art Blakey,Moanin,480000
2024-01-07T20:15:00,Chet Baker,My Funny Valentine,300000
2024-01-07T22:00:00,Herbie Hancock,Maiden Voyage,540000
2024-01-08T00:00:00,Keith Jarrett,The Koln Concert,600000
