timestamp,artist,track,ms_played
2024-03-01T08:30:00,Sukhbir,OH HO HO HO (Original Song),240000
2024-03-01T08:38:00,Badshah,Kar Gayi Chull,225000
2024-03-01T12:55:00,Harrdy Sandhu,Bijlee Bijlee,213000
2024-03-01T18:20:00,AP Dhillon,Excuses,220000
2024-03-01T22:05:00,Sharn,Mi Amor,205000
2024-03-02T09:00:00,Yashita Sharma,Gallan Goodiyaan,236000
2024-03-02T13:25:00,Labh Janjua,London Thumakda,226000
2024-03-02T19:05:00,Rahul Sipligunj,Naatu Naatu,232000
2024-03-02T22:30:00,Neeraj Shridhar,Tum Hi Ho Bandhu,216000
2024-03-03T08:45:00,Anirudh Ravichander,Arabic Kuthu - Halamithi Habibo,224000
2024-03-03T14:10:00,Pritam,Kesariya,214000
2024-03-03T20:00:00,Tanishk Bagchi,Raataan Lambiyan,218000
2024-03-04T09:15:00,King,Tu Aake Dekhle,211000
2024-03-04T14:35:00,Glass Animals,Heat Waves,202000
2024-03-04T19:45:00,Justin Bieber,Ghost,216000
2024-03-04T22:15:00,Charlie Puth,Left and Right,194000
