endTime,artistName,trackName,msPlayed,spotify_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2023-07-31 15:06:00,Alec Benjamin,Devil Doesn’t Bargain,118306,1zu2GKHPJIsUu80SUJX4H4,0.448,0.606,3.0,-4.565,1.0,0.0609,0.577,0.0,0.217,0.483,121.15,163613.0,4.0
2023-08-09 03:15:00,Prateek Kuhad,Kahaan Ho Tum,148457,6V7QyA9N0Zp7C6k8qsYfpm,0.714,0.393,5.0,-10.157,1.0,0.0754,0.733,0.00192,0.123,0.72,67.589,155289.0,4.0
2023-08-09 03:16:00,Good Old War,Part of Me,39158,5TA2vNVGdgTdNyNNeq52e0,0.481,0.417,8.0,-4.9,1.0,0.0279,0.818,0.0,0.106,0.336,78.932,182640.0,4.0
2023-08-09 03:29:00,Taylor Swift,august,189458,3hUxzQpSfdDqwM3ZTFQY0K,0.532,0.623,5.0,-9.208,1.0,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923.0,4.0
2023-08-09 13:16:00,Taylor Swift,august,72790,3hUxzQpSfdDqwM3ZTFQY0K,0.532,0.623,5.0,-9.208,1.0,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923.0,4.0
2023-08-09 13:29:00,Ashe,Till Forever Falls Apart,221189,4x5YzxjrF9wvIIXJV7TveC,0.346,0.501,2.0,-6.939,1.0,0.0364,0.421,0.0,0.0657,0.299,99.855,222927.0,4.0
2023-08-10 03:24:00,Harry Styles,Falling,219578,1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,4.0,-6.502,1.0,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133.0,4.0
2023-08-10 03:39:00,Conan Gray,Astronomy,228161,2JN3ugW1cEahbYw0I5mw5U,0.474,0.343,4.0,-8.571,0.0,0.027,0.578,2.65e-05,0.305,0.152,145.115,243907.0,3.0
2023-08-10 18:06:00,Yashita Sharma,Gallan Goodiyaan,296500,7hNYvX0qAKrxtVr1jGDmvR,0.83,0.858,6.0,-3.18,0.0,0.0554,0.134,1.72e-05,0.0567,0.949,119.974,296500.0,4.0
2023-08-10 18:12:00,Sukhbir,OH HO HO HO (Original Song),367818,3NpNTYETMcXspfs8hE8T7h,0.733,0.963,10.0,-5.06,1.0,0.0665,0.0558,1.32e-05,0.0766,0.91,145.05,367818.0,4.0
